Waktu,Kecerahan,Temperature,Latitude,Longtitude
5.858036248,15.60000038,30.60000038,-6.9586362,107.6260153
15.84551848,13,30.60000038,-6.957778,107.6264638
25.84091692,15.5,30.60000038,-6.9567746,107.6267139
35.87393322,15.39999962,30.60000038,-6.957004,107.627266
45.86553498,12.19999981,30.60000038,-6.9555068,107.626943
55.94636326,13.89999962,30.60000038,-6.9546101,107.6272831
65.84352347,16.29999924,30.60000038,-6.9536133,107.6276199
75.8336644,16.60000038,30.60000038,-6.9520185,107.627084
85.86858502,14.80000019,30.20000076,-6.951215,107.6262248
95.90519517,12.5,30.60000038,-6.9497785,107.6260389
105.8492553,12.39999962,30.20000076,-6.9492633,107.6276359
125.9155486,16.5,30.20000076,-6.9496281,107.6299232
135.8651447,15,30.20000076,-6.9490374,107.633555
145.895981,14.19999981,29.89999962,-6.9490374,107.633555
155.8405138,10.39999962,30.20000076,-6.9463366,107.6312929
165.9677104,10.80000019,29.89999962,-6.944851,107.6301224
175.8715071,9,29.89999962,-6.9436047,107.6289532
185.8564384,14.19999981,29.89999962,-6.9425566,107.6280136
195.8496407,14.5,29.89999962,-6.9412617,107.6267301
205.8905728,13.39999962,29.60000038,-6.9397913,107.6252699
215.9177055,14.30000019,29.60000038,-6.9383179,107.623745
225.8610509,13.39999962,29.60000038,-6.9370667,107.6228798
235.9018124,13.60000038,29.60000038,-6.9370886,107.6227529
245.8872307,14.80000019,29.60000038,-6.9378303,107.6235667
255.923348,14.30000019,29.60000038,-6.9356856,107.6223648
265.8699886,14.19999981,29.29999924,-6.9351839,107.6228705
275.8576493,13.5,29.29999924,-6.934411,107.6230766
285.8457085,15.80000019,29.60000038,-6.934267,107.6235958
295.8832665,16.29999924,29.60000038,-6.9346534,107.6245909
305.9657768,14.60000038,29.29999924,-6.9341439,107.6252176
315.8590913,14,29.60000038,-6.9329726,107.625633
325.8984356,12.69999981,29.60000038,-6.9328985,107.6256213
335.8885984,14.5,29.29999924,-6.9313912,107.626116
345.8796086,15.5,29.60000038,-6.9294153,107.6265541
355.8653198,11.10000038,29.60000038,-6.9272591,107.627149
365.8577921,13.39999962,29.60000038,-6.9251444,107.6274335
375.8932966,16,29.60000038,-6.9247242,107.6274958
385.881284,15.80000019,29.60000038,-6.9249821,107.6275094
395.8716416,14.19999981,29.60000038,-6.9249824,107.6275104
405.8663967,16.10000038,29.60000038,-6.924755,107.6275018
415.9422756,13.30000019,29.60000038,-6.9245788,107.6280937
