Waktu,Kecerahan,Temperature,Latitude,Longtitude
5.968921769,16.70000076,27.29999924,-6.89508556,107.5884895
22.32943385,16,27.29999924,-6.8950342,107.5884095
32.32327655,17.10000038,27.29999924,-6.89498099,107.5883341
42.36606764,9.699999809,27.29999924,-6.89491892,107.5882623
52.35986384,17,27.29999924,-6.89485657,107.588174
62.35292003,17,27.29999924,-6.89479127,107.5880963
72.34982039,16.20000076,27.29999924,-6.89473373,107.5880005
82.34069424,16.60000038,27.29999924,-6.89467085,107.5879084
92.33426299,17.10000038,27.29999924,-6.89461352,107.587838
102.3271691,16.89999962,27.29999924,-6.89454681,107.5877567
112.3730378,16.39999962,27.29999924,-6.89447902,107.5876729
122.3651098,17.10000038,27.29999924,-6.89441105,107.587597
132.3571032,17,27.29999924,-6.89435197,107.5875091
142.3546445,17.10000038,27.29999924,-6.89430185,107.5874411
152.3477878,17.10000038,27.29999924,-6.89424883,107.5873807
162.3385523,17,27.29999924,-6.89420645,107.5873166
172.3334381,16.5,27.29999924,-6.89416314,107.5872541
182.3763754,17,27.29999924,-6.89412086,107.5871933
192.3689362,16.29999924,27.29999924,-6.89406354,107.5871249
202.3661253,8.399999619,27.29999924,-6.89400591,107.5870454
212.3576854,16.10000038,27,-6.89394412,107.5869735
222.3526518,11.10000038,27,-6.89388921,107.5868919
232.3451579,12,27,-6.8938333,107.5868112
242.3377875,16.70000076,27.29999924,-6.89377936,107.5867394
252.3837829,16.20000076,27.29999924,-6.89372239,107.5866663
262.3785343,11.60000038,27.29999924,-6.89366578,107.5865898
272.3678667,11.60000038,27,-6.89361409,107.5865152
282.3627894,16.39999962,27.29999924,-6.89356153,107.5864504
292.3596732,14.30000019,27,-6.89351058,107.5863785
302.3502766,13.60000038,27.29999924,-6.89345835,107.5863103
312.3441867,11.19999981,27,-6.893408,107.5862344
322.3867565,15.60000038,27,-6.89335998,107.5861622
332.3803292,15.89999962,27,-6.89330411,107.5860846
342.3730047,10.19999981,27,-6.89324638,107.5860034
352.3687062,13,27,-6.89318975,107.585928
362.3617366,16,27,-6.89313455,107.5858555
372.3575777,9.800000191,27,-6.89307803,107.5857808
382.3487443,15.19999981,27,-6.89302218,107.5856989
392.6869018,16.29999924,27,-6.89296664,107.5856174
402.3882775,15.10000038,27,-6.89291921,107.5855455
412.3790076,13.19999981,27,-6.89286816,107.5854461
422.3732087,15.5,27,-6.89281931,107.5853545
432.3649638,14.89999962,27,-6.8927688,107.5852582
442.3598866,14.69999981,26.70000076,-6.89272374,107.5851646
452.3540707,16.29999924,26.70000076,-6.89268481,107.5850767
462.3966434,14.19999981,27,-6.89265087,107.5849849
472.3896839,14.69999981,26.70000076,-6.89261803,107.5848991
482.3843098,16,27,-6.89258812,107.5848162
492.380959,16.10000038,26.70000076,-6.89255396,107.5847271
